date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
07-01,04:04,05:54,14:05,18:17,22:10,23:55
07-02,04:05,05:54,14:05,18:17,22:10,23:54
07-03,04:06,05:55,14:05,18:17,22:10,23:54
07-04,04:07,05:56,14:05,18:17,22:09,23:53
07-05,04:08,05:57,14:05,18:17,22:09,23:52
07-06,04:09,05:57,14:05,18:17,22:08,23:51
07-07,04:11,05:58,14:06,18:17,22:08,23:50
07-08,04:12,05:59,14:06,18:17,22:07,23:49
07-09,04:14,06:00,14:06,18:17,22:06,23:48
07-10,04:15,06:01,14:06,18:17,22:06,23:46
07-11,04:17,06:02,14:06,18:17,22:05,23:45
07-12,04:18,06:03,14:06,18:17,22:04,23:44
07-13,04:20,06:04,14:06,18:16,22:03,23:42
07-14,04:21,06:05,14:07,18:16,22:03,23:41
07-15,04:23,06:06,14:07,18:16,22:02,23:39
07-16,04:25,06:07,14:07,18:16,22:01,23:38
07-17,04:27,06:08,14:07,18:15,22:00,23:36
07-18,04:28,06:09,14:07,18:15,21:59,23:35
07-19,04:30,06:11,14:07,18:15,21:58,23:33
07-20,04:32,06:12,14:07,18:15,21:57,23:31
07-21,04:34,06:13,14:07,18:14,21:55,23:29
07-22,04:36,06:14,14:07,18:14,21:54,23:28
07-23,04:37,06:16,14:07,18:13,21:53,23:26
07-24,04:39,06:17,14:07,18:13,21:52,23:24
07-25,04:41,06:18,14:07,18:12,21:51,23:22
07-26,04:43,06:19,14:07,18:12,21:49,23:20
07-27,04:45,06:21,14:07,18:11,21:48,23:18
07-28,04:47,06:22,14:07,18:11,21:47,23:16
07-29,04:49,06:23,14:07,18:10,21:45,23:14
07-30,04:51,06:25,14:07,18:10,21:44,23:12
07-31,04:53,06:26,14:07,18:09,21:42,23:10
