date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
03-01,06:24,07:38,13:13,16:03,18:44,19:53
03-02,06:22,07:36,13:13,16:05,18:46,19:55
03-03,06:20,07:34,13:12,16:06,18:47,19:56
03-04,06:18,07:32,13:12,16:07,18:49,19:58
03-05,06:16,07:29,13:12,16:08,18:50,19:59
03-06,06:14,07:27,13:12,16:09,18:52,20:01
03-07,06:12,07:25,13:12,16:10,18:54,20:02
03-08,06:09,07:23,13:11,16:11,18:55,20:04
03-09,06:07,07:21,13:11,16:12,18:57,20:06
03-10,06:05,07:19,13:11,16:13,18:58,20:07
03-11,06:03,07:17,13:11,16:14,19:00,20:09
03-12,06:01,07:15,13:10,16:15,19:02,20:10
03-13,05:59,07:13,13:10,16:16,19:03,20:12
03-14,05:57,07:11,13:10,16:17,19:05,20:14
03-15,05:55,07:08,13:09,16:18,19:06,20:15
03-16,05:52,07:06,13:09,16:19,19:08,20:17
03-17,05:50,07:04,13:09,16:20,19:09,20:19
03-18,05:48,07:02,13:09,16:21,19:11,20:20
03-19,05:46,07:00,13:08,16:22,19:12,20:22
03-20,05:43,06:58,13:08,16:23,19:14,20:24
03-21,05:41,06:56,13:08,16:24,19:16,20:25
03-22,05:39,06:54,13:07,16:25,19:17,20:27
03-23,05:37,06:51,13:07,16:26,19:19,20:29
03-24,05:34,06:49,13:07,16:27,19:20,20:30
03-25,05:32,06:47,13:06,16:27,19:22,20:32
03-26,05:30,06:45,13:06,16:28,19:23,20:34
03-27,05:27,06:43,13:06,16:29,19:25,20:35
03-28,05:25,06:41,13:06,16:30,19:26,20:37
03-29,05:23,06:38,13:06,16:31,19:28,20:39
03-30,05:21,06:36,13:06,16:32,19:29,20:40
03-31,06:18,07:34,14:06,17:32,20:31,21:42
