date,Fajr,Shurouq,Dhuhr,Asr,Maghrib,Isha
06-01,04:08,05:54,13:59,18:09,21:59,23:40
06-02,04:07,05:53,13:59,18:10,22:00,23:41
06-03,04:06,05:52,13:59,18:10,22:01,23:43
06-04,04:05,05:52,13:59,18:11,22:01,23:44
06-05,04:04,05:51,13:59,18:11,22:02,23:45
06-06,04:03,05:51,13:59,18:11,22:03,23:47
06-07,04:02,05:50,14:00,18:12,22:04,23:48
06-08,04:01,05:50,14:00,18:12,22:05,23:49
06-09,04:00,05:50,14:00,18:13,22:05,23:50
06-10,04:00,05:49,14:00,18:13,22:06,23:51
06-11,03:59,05:49,14:00,18:13,22:07,23:52
06-12,03:59,05:49,14:01,18:14,22:07,23:53
06-13,03:58,05:49,14:01,18:14,22:08,23:54
06-14,03:58,05:49,14:01,18:14,22:08,23:55
06-15,03:57,05:49,14:01,18:15,22:09,23:55
06-16,03:57,05:49,14:01,18:15,22:09,23:56
06-17,03:57,05:49,14:02,18:15,22:10,23:56
06-18,03:57,05:49,14:02,18:15,22:10,23:57
06-19,03:57,05:49,14:02,18:16,22:10,23:57
06-20,03:57,05:49,14:02,18:16,22:11,23:57
06-21,03:57,05:49,14:02,18:16,22:11,23:58
06-22,03:58,05:49,14:03,18:16,22:11,23:58
06-23,03:58,05:50,14:03,18:16,22:11,23:58
06-24,03:58,05:50,14:03,18:17,22:11,23:58
06-25,03:59,05:50,14:03,18:17,22:11,23:58
06-26,04:00,05:51,14:04,18:17,22:11,23:57
06-27,04:00,05:51,14:04,18:17,22:11,23:57
06-28,04:01,05:52,14:04,18:17,22:11,23:57
06-29,04:02,05:52,14:04,18:17,22:11,23:56
06-30,04:03,05:53,14:04,18:17,22:11,23:56
